,Unnamed: 0,track_title,release_date,artist_name,ko_tok,en_tok,ko_type,en_type
0,0,SCIENTIST,2021-11-12,TWICE,63,48,56,36
1,0,Alcohol-Free,2021-06-11,TWICE,62,14,51,14
2,0,I CAN'T STOP ME,2020-10-26,TWICE,67,67,55,30
3,0,What is Love,2018-04-09,TWICE,58,38,52,10
4,0,Like Ooh-Ahh,2015-10-20,TWICE,85,17,70,14
5,0,Cheer Up,2016-04-25,TWICE,97,12,82,5
6,0,TT,2016-10-24,TWICE,82,27,66,14
7,0,Dance The Night Away,2018-07-09,TWICE,51,61,44,29
8,0,Feel Special,2019-09-23,TWICE,65,26,53,17
9,0,YES or YES,2018-11-05,TWICE,67,72,51,29
10,0,FANCY,2019-04-22,TWICE,61,52,49,29
11,0,Signal,2017-05-15,TWICE,76,25,48,10
12,0,Likey,2017-10-30,TWICE,62,24,61,3
